popName	popUId	sampleUId	2N	locusSymbol	siteName	alleleSymbol	entryDate	frequency
Yadava	PO000367Q	SA000869X	118	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	9	2004-03-11	0.11
Yadava	PO000367Q	SA000869X	118	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	12	2004-03-11	0.25
Yadava	PO000367Q	SA000869X	118	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	11	2004-03-11	0.26
Yadava	PO000367Q	SA000869X	118	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	10	2004-03-11	0.34
Yadava	PO000367Q	SA000869X	118	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	8	2004-03-11	0.01
Yadava	PO000367Q	SA000869X	118	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	13	2004-03-11	0.03
Yadava	PO000367Q	SA000870P	80	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	14	2004-03-11	0.03
Yadava	PO000367Q	SA000870P	80	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	10	2004-03-11	0.34
Yadava	PO000367Q	SA000870P	80	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	11	2004-03-11	0.24
Yadava	PO000367Q	SA000870P	80	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	13	2004-03-11	0.06
Yadava	PO000367Q	SA000870P	80	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	12	2004-03-11	0.19
Yadava	PO000367Q	SA000870P	80	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	9	2004-03-11	0.14
Yadava	PO000367Q	SA000870P	80	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	15	2004-03-11	0.01
Yadava	PO000367Q	SA000871Q	86	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	7	2004-03-11	0.05
Yadava	PO000367Q	SA000871Q	86	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	9	2004-03-11	0.08
Yadava	PO000367Q	SA000871Q	86	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	10	2004-03-11	0.28
Yadava	PO000367Q	SA000871Q	86	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	14	2004-03-11	0.01
Yadava	PO000367Q	SA000871Q	86	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	13	2004-03-11	0.02
Yadava	PO000367Q	SA000871Q	86	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	11	2004-03-11	0.33
Yadava	PO000367Q	SA000871Q	86	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	12	2004-03-11	0.23
Yadava	PO000367Q	SA000872R	108	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	10	2004-03-11	0.26
Yadava	PO000367Q	SA000872R	108	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	13	2004-03-11	0.07
Yadava	PO000367Q	SA000872R	108	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	9	2004-03-11	0.16
Yadava	PO000367Q	SA000872R	108	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	11	2004-03-11	0.22
Yadava	PO000367Q	SA000872R	108	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	12	2004-03-11	0.29
Yadava	PO000367Q	SA000873S	52	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	10	2004-03-11	0.37
Yadava	PO000367Q	SA000873S	52	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	11	2004-03-11	0.31
Yadava	PO000367Q	SA000873S	52	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	12	2004-03-11	0.06
Yadava	PO000367Q	SA000873S	52	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	13	2004-03-11	0.17
Yadava	PO000367Q	SA000873S	52	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	9	2004-03-11	0.1
Yadava	PO000367Q	SA000874T	62	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	15	2004-03-11	0.02
Yadava	PO000367Q	SA000874T	62	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	11	2004-03-11	0.21
Yadava	PO000367Q	SA000874T	62	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	12	2004-03-11	0.31
Yadava	PO000367Q	SA000874T	62	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	10	2004-03-11	0.31
Yadava	PO000367Q	SA000874T	62	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	9	2004-03-11	0.13
Yadava	PO000367Q	SA000874T	62	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	13	2004-03-11	0.03
Yadava	PO000367Q	SA000875U	18	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	11	2004-03-11	0.39
Yadava	PO000367Q	SA000875U	18	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	10	2004-03-11	0.56
Yadava	PO000367Q	SA000875U	18	D21S1435	D21S1435 (GATA)subn/sub tetranucleotide repeat 	12	2004-03-11	0.06
